slug,title,source_filename,size_bytes,paper_url,manifest_status
360dvd-controllable-panorama-video-generation-with-360-degree-video-diffusion-mo__360DVD可控的360度全景视频扩散生成模型,360DVD: Controllable Panorama Video Generation with 360-Degree Video Diffusion Model,360DVD Controllable Panorama Video Generation with 360-Degree Video Diffusion Model.pdf,3543116,https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_360DVD_Controllable_Panorama_Video_Generation_with_360-Degree_Video_Diffusion_Model_CVPR_2024_paper.pdf,skipped_exists
3d-face-reconstruction-with-the-geometric-guidance-of-facial-part-segmentation__利用面部分割几何引导的3D人脸重建,3D Face Reconstruction with the Geometric Guidance of Facial Part Segmentation,3D Face Reconstruction with the Geometric Guidance of Facial Part Segmentation.pdf,10320279,https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_3D_Face_Reconstruction_with_the_Geometric_Guidance_of_Facial_Part_CVPR_2024_paper.pdf,skipped_exists
3d-facial-expressions-through-analysis-by-neural-synthesis__通过分析-神经合成实现三维面部表情重建,3D Facial Expressions through Analysis-by-Neural-Synthesis,3D Facial Expressions through Analysis-by-Neural-Synthesis.pdf,9128896,https://openaccess.thecvf.com/content/CVPR2024/papers/Retsinas_3D_Facial_Expressions_through_Analysis-by-Neural-Synthesis_CVPR_2024_paper.pdf,skipped_exists
3d-feature-tracking-via-event-camera__通过事件相机进行3D特征跟踪,3D Feature Tracking via Event Camera,3D Feature Tracking via Event Camera.pdf,2821874,https://openaccess.thecvf.com/content/CVPR2024/papers/Li_3D_Feature_Tracking_via_Event_Camera_CVPR_2024_paper.pdf,skipped_exists
3d-lidar-mapping-in-dynamic-environments-using-a-4d-implicit-neural-representati__使用4D隐式神经表示在动态环境中进行3DLiDA,3D LiDAR Mapping in Dynamic Environments using a 4D Implicit Neural Representation,3D LiDAR Mapping in Dynamic Environments using a 4D Implicit Neural Representation.pdf,6212250,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhong_3D_LiDAR_Mapping_in_Dynamic_Environments_using_a_4D_Implicit_CVPR_2024_paper.pdf,skipped_exists
3d-paintbrush-local-stylization-of-3d-shapes-with-cascaded-score-distillation__3DPaintbrush通过级联分数蒸馏对3D形,3D Paintbrush: Local Stylization of 3D Shapes with Cascaded Score Distillation,3D Paintbrush Local Stylization of 3D Shapes with Cascaded Score Distillation.pdf,9631160,https://openaccess.thecvf.com/content/CVPR2024/papers/Decatur_3D_Paintbrush_Local_Stylization_of_3D_Shapes_with_Cascaded_Score_CVPR_2024_paper.pdf,skipped_exists
3dinaction-understanding-human-actions-in-3d-point-clouds__3DInAction了解3D点云中的人类行为,3DInAction: Understanding Human Actions in 3D Point Clouds,3DInAction Understanding Human Actions in 3D Point Clouds.pdf,2347276,https://openaccess.thecvf.com/content/CVPR2024/papers/Ben-Shabat_3DInAction_Understanding_Human_Actions_in_3D_Point_Clouds_CVPR_2024_paper.pdf,skipped_exists
3d-scenedreamer-text-driven-3d-consistent-scene-generation__3D-SceneDreamer文本驱动的3D一致,3D-SceneDreamer: Text-Driven 3D-Consistent Scene Generation,3D-SceneDreamer Text-Driven 3D-Consistent Scene Generation.pdf,5207187,https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_3D-SceneDreamer_Text-Driven_3D-Consistent_Scene_Generation_CVPR_2024_paper.pdf,skipped_exists
3dsflabelling-boosting-3d-scene-flow-estimation-by-pseudo-auto-labelling__3DSFLabelling通过伪自动标记增强3D,3DSFLabelling: Boosting 3D Scene Flow Estimation by Pseudo Auto-labelling,3DSFLabelling Boosting 3D Scene Flow Estimation by Pseudo Auto-labelling.pdf,5258532,https://openaccess.thecvf.com/content/CVPR2024/papers/Jiang_3DSFLabelling_Boosting_3D_Scene_Flow_Estimation_by_Pseudo_Auto-labelling_CVPR_2024_paper.pdf,downloaded
4d-fy-text-to-4d-generation-using-hybrid-score-distillation-sampling__4D-fy使用混合分数蒸馏采样生成文本到4D,4D-fy: Text-to-4D Generation Using Hybrid Score Distillation Sampling,4D-fy Text-to-4D Generation Using Hybrid Score Distillation Sampling.pdf,3386225,https://openaccess.thecvf.com/content/CVPR2024/papers/Bahmani_4D-fy_Text-to-4D_Generation_Using_Hybrid_Score_Distillation_Sampling_CVPR_2024_paper.pdf,downloaded
